iter	Passed	Remaining
420	2417	3325
421	2423	3319
422	2429	3313
423	2434	3307
424	2439	3300
425	2445	3294
426	2454	3294
427	2460	3288
428	2465	3281
429	2471	3275
430	2476	3269
431	2482	3263
432	2487	3257
433	2493	3251
434	2498	3245
435	2504	3239
436	2510	3234
437	2515	3227
438	2522	3223
439	2528	3217
440	2534	3212
441	2539	3206
442	2544	3199
443	2550	3193
444	2555	3187
445	2560	3181
446	2566	3174
447	2571	3168
448	2577	3162
449	2582	3156
450	2587	3150
451	2593	3144
452	2599	3138
453	2604	3132
454	2610	3126
455	2615	3120
456	2622	3115
457	2627	3109
458	2633	3103
459	2639	3098
460	2644	3092
461	2650	3086
462	2655	3080
463	2661	3074
464	2666	3068
465	2672	3062
466	2678	3056
467	2683	3050
468	2688	3044
469	2694	3038
470	2699	3032
471	2704	3025
472	2710	3019
473	2715	3013
474	2721	3007
475	2726	3001
476	2732	2995
477	2737	2989
478	2743	2984
479	2749	2978
480	2754	2972
481	2759	2965
482	2765	2959
483	2770	2953
484	2775	2947
485	2781	2941
486	2786	2935
487	2792	2929
488	2797	2923
489	2803	2917
490	2808	2911
491	2813	2905
492	2819	2899
493	2825	2893
494	2830	2887
495	2836	2881
496	2841	2875
497	2847	2869
498	2852	2863
499	2858	2858
500	2863	2852
501	2869	2846
502	2875	2840
503	2880	2835
504	2886	2828
505	2892	2823
506	2897	2817
507	2903	2811
508	2908	2805
509	2914	2799
510	2919	2793
511	2924	2787
512	2930	2781
513	2935	2775
514	2940	2769
515	2946	2763
516	2952	2757
517	2957	2751
518	2962	2745
519	2967	2739
520	2972	2733
521	2978	2727
522	2983	2721
523	2989	2715
524	2994	2709
525	2999	2703
526	3004	2697
527	3010	2690
528	3015	2684
529	3021	2679
530	3026	2673
531	3031	2667
532	3037	2661
533	3043	2655
534	3048	2649
535	3054	2644
536	3060	2638
537	3067	2634
538	3072	2628
539	3078	2622
540	3085	2617
541	3091	2612
542	3096	2606
543	3102	2600
544	3107	2594
545	3113	2588
546	3119	2583
547	3125	2578
548	3131	2572
549	3136	2566
550	3143	2561
551	3148	2555
552	3153	2549
553	3159	2543
554	3165	2537
555	3170	2532
556	3176	2526
557	3181	2519
558	3186	2513
559	3191	2507
560	3197	2502
561	3202	2496
562	3208	2490
563	3214	2484
564	3219	2478
565	3225	2473
566	3230	2467
567	3235	2460
568	3240	2454
569	3246	2449
570	3252	2443
571	3257	2437
572	3263	2431
573	3269	2426
574	3274	2420
575	3279	2414
576	3285	2408
577	3291	2402
578	3296	2396
579	3301	2391
