iter	Logloss
0	0.6655506389
1	0.6434221826
2	0.6259715923
3	0.6118588524
4	0.6005742104
5	0.5915189285
6	0.5842628057
7	0.5784483344
8	0.5738085628
9	0.5698914322
10	0.5668369658
11	0.5644580298
12	0.5625021703
13	0.5609447224
14	0.5596763122
15	0.5585278997
16	0.5577017073
17	0.557052827
18	0.5564535147
19	0.55599995
20	0.555495707
21	0.5551855846
22	0.5548098123
23	0.5545867127
24	0.554364119
25	0.5541859675
26	0.5540669172
27	0.5539619251
28	0.5538451422
29	0.553769989
30	0.5537145838
31	0.5536547892
32	0.5536066067
33	0.5535075087
34	0.5534634819
35	0.5534166238
36	0.5533917189
37	0.5533511533
38	0.5532670031
39	0.5531966707
40	0.5530921674
41	0.5530757297
42	0.5530014374
43	0.5529783375
44	0.55295025
45	0.5528914488
46	0.5528696905
47	0.5528317421
48	0.5528115185
49	0.5528035243
50	0.5527401733
51	0.5526184937
52	0.5525984094
53	0.5525811932
54	0.5525584322
55	0.5525297402
56	0.5524891909
57	0.5524622458
58	0.5524231991
59	0.5524028132
60	0.5523671293
61	0.5523511749
62	0.5523035478
63	0.5522729392
64	0.552258929
65	0.5522494447
66	0.5521839678
67	0.5521604904
68	0.5521491391
69	0.5521259828
70	0.5521224706
71	0.5521140149
72	0.5521039944
73	0.5520279724
74	0.5520056241
75	0.5519620535
76	0.5519288755
77	0.551884892
78	0.5518681174
79	0.5518100869
80	0.5517773896
81	0.5517714914
82	0.5517689183
83	0.551742874
84	0.5517127247
85	0.5517056424
86	0.5516238436
87	0.5516134331
88	0.5515695867
89	0.5515453436
90	0.5515299002
91	0.5514873536
92	0.5514635799
93	0.5514481336
94	0.5514244218
95	0.5514139423
96	0.5514112046
97	0.5513443939
98	0.5513064227
99	0.5512874535
100	0.5512136091
101	0.5511515341
102	0.5511122647
103	0.5510788242
104	0.551066416
105	0.5510224342
106	0.5509573058
107	0.5508767656
108	0.550811785
109	0.5507141311
110	0.5506539482
111	0.5506031443
112	0.550544751
113	0.5505082777
114	0.5504414339
115	0.5504230524
116	0.5503217392
117	0.5502882099
118	0.5502144171
119	0.5501885123
120	0.5501707869
121	0.5501205012
122	0.5500599847
123	0.5499843193
124	0.5499636549
125	0.5498824172
126	0.5498718159
127	0.5497836957
128	0.5496632921
129	0.5495978417
130	0.5495690421
131	0.5495023818
132	0.5494465356
133	0.5493655269
134	0.5493090455
135	0.5492475449
136	0.5492028278
137	0.5491691526
138	0.5491164367
139	0.5490258508
140	0.5489461352
141	0.5489223812
142	0.548857852
143	0.5487981131
144	0.5487414844
145	0.5486918728
146	0.5486344461
147	0.5485886262
148	0.5485459922
149	0.5484833589
150	0.5484744849
151	0.5484131256
152	0.5482781535
153	0.5482108404
154	0.5482053627
155	0.5481486539
156	0.5480941584
157	0.5480732871
158	0.5480013606
159	0.5479333262
160	0.5479160623
161	0.5478960573
162	0.5478591909
163	0.5478229225
164	0.5477892069
165	0.5477805532
166	0.5477303044
167	0.5476703504
168	0.5476187711
169	0.5475790838
170	0.5475649015
171	0.5475202258
172	0.5474267124
173	0.5473749247
174	0.5473146375
175	0.547238304
176	0.5471965086
177	0.5471656718
178	0.5471415876
179	0.5470909104
180	0.5470476446
181	0.5470114308
182	0.5469574318
183	0.5469124592
184	0.5468626444
185	0.5468244625
186	0.5467914674
187	0.5467669117
188	0.5467433638
189	0.5466938044
190	0.5466252788
191	0.5465691457
192	0.5465612608
193	0.5464607829
194	0.5463960054
195	0.5462949959
196	0.5462191186
197	0.5461809368
198	0.5461064521
199	0.5460244031
200	0.545986424
201	0.5458497623
202	0.5458027566
203	0.5457720449
204	0.5457566072
205	0.5456958038
206	0.5456390628
207	0.5456060761
208	0.5455749835
209	0.5455185439
210	0.5454453762
211	0.545387423
212	0.5453433361
213	0.5452946509
214	0.5452259765
215	0.5451979283
216	0.5451385464
217	0.5450747757
218	0.5450369324
219	0.5449633629
220	0.5449475242
221	0.5449100616
222	0.5448177038
223	0.5447715018
224	0.54471277
225	0.544681068
226	0.5446446395
227	0.5445954966
228	0.544554086
229	0.5445001595
230	0.5444549976
231	0.5443958206
232	0.5443216345
233	0.5442539429
234	0.5441817334
235	0.5441401748
236	0.5441013215
237	0.5440784462
238	0.5440426914
239	0.5440253277
240	0.5439626027
241	0.5439179451
242	0.5438958609
243	0.5438544209
244	0.5437929089
245	0.5437650929
246	0.5436967149
247	0.5436661782
248	0.5435832142
249	0.5435442218
250	0.5435110534
251	0.5434728984
252	0.5434376794
253	0.5433640958
254	0.5433099142
255	0.5433035417
256	0.5432758375
257	0.5432425039
258	0.5432200099
259	0.543160924
260	0.5430391851
261	0.5429898355
262	0.5429353039
263	0.5429142635
264	0.5428838441
265	0.5428463804
266	0.5428177592
267	0.5427902414
268	0.5427642234
269	0.5427530029
270	0.5427207936
271	0.5426462094
272	0.5426141971
273	0.542581864
274	0.5425405636
275	0.5425101628
276	0.5425021192
277	0.5424719601
278	0.5424264438
279	0.5424140121
280	0.5423732584
281	0.5423416325
282	0.5422742617
283	0.542237269
284	0.5422109063
285	0.5421972434
286	0.5421659697
287	0.5421199804
288	0.5420922963
289	0.542067846
290	0.5420099289
291	0.5419375446
292	0.5419201307
293	0.5418850267
294	0.5418442965
295	0.5417545094
296	0.5417290819
297	0.5416680625
298	0.5416512272
299	0.5416019559
300	0.5415567741
301	0.5415415872
302	0.5414949904
303	0.541447895
304	0.5414065205
305	0.5413501937
306	0.5413262202
307	0.5412622594
308	0.5412421662
309	0.5412143974
310	0.5411682891
311	0.5411491018
312	0.5411133015
313	0.5410859375
314	0.5410606716
315	0.5410485983
316	0.5410129613
317	0.5409284207
318	0.5408921282
319	0.5408521269
320	0.5408150327
321	0.5407974401
322	0.5407529435
323	0.5407309657
324	0.5407112203
325	0.540661505
326	0.5406214127
327	0.5406035519
328	0.5405562263
329	0.5404766313
330	0.5404442274
331	0.5404279565
332	0.540406296
333	0.5403832513
334	0.5403559399
335	0.5403257184
336	0.5403200386
337	0.5402827268
338	0.540186214
339	0.5401385356
340	0.5400947416
341	0.5400608286
342	0.5400089287
343	0.5399604152
344	0.5399164213
345	0.5398879088
346	0.5398374498
347	0.5398182037
348	0.5397929041
349	0.5397479956
350	0.5397338738
351	0.5397290675
352	0.5396773041
353	0.5396450685
354	0.5396324342
355	0.5396132001
356	0.5396059581
357	0.5395538053
358	0.5395050064
359	0.5394861153
360	0.5394689076
361	0.5394355765
362	0.5393392197
363	0.5393250428
364	0.5392903839
365	0.5392624316
366	0.5392177609
367	0.539210023
368	0.5391918219
369	0.5391671659
370	0.5391419385
371	0.5390858176
372	0.539025095
373	0.5389728553
374	0.5389531093
375	0.5388958565
376	0.5388232134
377	0.5387808904
378	0.5387468612
379	0.5387377318
380	0.5386968872
381	0.5386604181
382	0.538617934
383	0.5385689169
384	0.538552652
385	0.5385276849
386	0.5384857726
387	0.5384333657
388	0.5384064388
389	0.5383241142
390	0.538297271
391	0.5382561875
392	0.5382274031
393	0.5382183983
394	0.5382065841
395	0.5381623731
396	0.5381179901
397	0.5380767304
398	0.5380458506
399	0.5380069448
400	0.5379346787
401	0.5379081096
402	0.5378666436
403	0.5378399982
404	0.5378046551
405	0.5377419713
406	0.5377063178
407	0.5376536406
408	0.5376300298
409	0.5375977184
410	0.5375631414
411	0.5375178948
412	0.5374681237
413	0.5374418185
414	0.5373950047
415	0.5373583568
416	0.5373251495
417	0.5372869169
418	0.537242019
419	0.5372174645
420	0.5371907045
421	0.5371511375
422	0.5371242207
423	0.537100071
424	0.5370923479
425	0.5370656858
426	0.5370338977
427	0.5369855775
428	0.5369613774
429	0.5369255424
430	0.5369048341
431	0.536862695
432	0.5368298449
433	0.5368098206
434	0.5367916267
435	0.5367605417
436	0.536730908
437	0.536715579
438	0.5366709656
439	0.5366128778
440	0.5365791537
441	0.536534174
442	0.5364898362
443	0.5364582089
444	0.536415748
445	0.5363962616
446	0.5363873461
447	0.5363544995
448	0.5363334683
449	0.5362987766
450	0.5362728171
451	0.5362442807
452	0.5362314921
453	0.5362068227
454	0.5361517427
455	0.5361238938
456	0.5360931581
457	0.5360706652
458	0.5360473579
459	0.5360142811
460	0.5359868552
461	0.5359478746
462	0.5359237133
463	0.5359105029
464	0.5358997404
465	0.5358469024
466	0.5358141901
467	0.5357749216
468	0.5357233198
469	0.535678046
470	0.5356571776
471	0.5356333801
472	0.5355733556
473	0.5355562471
474	0.5355048023
475	0.5354721595
476	0.5354541219
477	0.5354228618
478	0.5353874537
479	0.5353696375
480	0.5353083583
481	0.5352811274
482	0.5352517259
483	0.5351813695
484	0.5351524985
485	0.5351217591
486	0.535103269
487	0.5350592747
488	0.5350053847
489	0.5349795503
490	0.5349483899
491	0.5349283047
492	0.5349043509
493	0.5348575436
494	0.5348457812
495	0.5348023129
496	0.534791797
497	0.534744382
498	0.5347114519
499	0.5346830442
500	0.5346329294
501	0.5346161157
502	0.5345856729
503	0.534566338
504	0.5345485478
505	0.5345051095
506	0.5344741179
507	0.5344382356
508	0.5344250414
509	0.5343950765
510	0.5343856768
511	0.5343437764
512	0.5343009122
513	0.5342835237
514	0.5342344261
515	0.5341896874
516	0.5341553451
517	0.5341168316
518	0.534102706
519	0.5340766512
520	0.534068036
521	0.5340533854
522	0.5340301028
523	0.5339922866
524	0.5339598462
525	0.5338973016
526	0.533885213
527	0.5338778335
528	0.5338616628
529	0.5338560027
530	0.5338291297
531	0.5338061613
532	0.5337648921
533	0.5337338292
534	0.5336954454
535	0.5336658539
536	0.5336239688
537	0.5336029562
538	0.5335914134
539	0.5335549808
540	0.533524169
541	0.5334781484
542	0.5334421909
543	0.5334054486
544	0.533375666
545	0.5333329502
546	0.5333137825
547	0.5332751085
548	0.5332329014
549	0.5332148533
550	0.533195214
551	0.5331720264
552	0.5331653879
553	0.5331279153
554	0.5330974809
555	0.5330593373
556	0.5330149811
557	0.5330056002
558	0.5329869922
559	0.5329556058
560	0.5329171491
561	0.5328886609
562	0.5328716668
563	0.5328393792
564	0.5328288317
565	0.5327936129
566	0.5327711249
567	0.5327663089
568	0.5327358467
569	0.5327125855
570	0.5327023485
571	0.5326660887
572	0.5326580859
573	0.5326335515
574	0.5325982276
575	0.5325715674
576	0.5325361885
577	0.5325163557
578	0.5325019735
579	0.5324630571
580	0.53243792
581	0.5324118811
582	0.5323963124
583	0.532376481
584	0.5323648455
585	0.532319919
586	0.5322893877
587	0.5322691006
588	0.532235988
589	0.532208872
590	0.5321886433
591	0.5321674163
592	0.5321411399
593	0.5321311968
594	0.5320758286
595	0.5320536167
596	0.5320306958
597	0.5319830638
598	0.5319541718
599	0.5319189986
600	0.5318948417
601	0.5318688916
602	0.5318512347
603	0.5318306426
604	0.531799041
605	0.5317487054
606	0.5317301789
607	0.5317024997
608	0.5316707249
609	0.5316340421
610	0.5315898419
611	0.531558422
612	0.5315080552
613	0.531474599
614	0.5314555666
615	0.5314405669
616	0.5314065249
617	0.5313860676
618	0.5313476074
619	0.5313151008
620	0.5313074843
621	0.5312861904
622	0.5312573677
623	0.5312369259
624	0.5312109015
625	0.5311876175
626	0.5311588111
627	0.5311385935
628	0.531120005
629	0.5310888801
630	0.5310541421
631	0.531014004
632	0.5309702932
633	0.5309358037
634	0.5309052637
635	0.5308744106
636	0.5308434713
637	0.5308073032
638	0.5307698192
639	0.5307214411
640	0.5306796802
641	0.5306517106
642	0.530624914
643	0.5305917788
644	0.5305780612
645	0.530562443
646	0.5305405472
647	0.5304852287
648	0.5304471199
649	0.5304374013
650	0.5304177303
651	0.530378463
652	0.5303529582
653	0.5303217904
654	0.5302910987
655	0.5302512923
656	0.5302179422
657	0.530204242
658	0.5301208231
659	0.5300971066
660	0.53008619
661	0.5300463747
662	0.5300229232
663	0.5299854756
664	0.5299776728
665	0.5299693781
666	0.5299523714
667	0.5299074648
668	0.5298594207
669	0.5298401295
670	0.5298127901
671	0.5297973611
672	0.5297808435
673	0.5297451093
674	0.5297194566
675	0.529686172
676	0.5296490646
677	0.5296093716
678	0.5295858358
679	0.5295523816
680	0.5295276909
681	0.5295107554
682	0.5295059112
683	0.5295033831
684	0.5294748333
685	0.5294511498
686	0.5294159198
687	0.5293757699
688	0.5293139556
689	0.5292744466
690	0.5292641951
691	0.5292441006
692	0.5292313519
693	0.5291933306
694	0.5291813759
695	0.5291498142
696	0.5291159891
697	0.5291033599
698	0.5290972149
699	0.5290857391
700	0.5290689874
701	0.5290412529
702	0.5289861646
703	0.5289738142
704	0.5289654767
705	0.5289476994
706	0.5289099909
707	0.5288761356
708	0.5288587836
709	0.5288404133
710	0.5288116031
711	0.528797461
712	0.5287508376
713	0.5287295949
714	0.5287078872
715	0.5286973429
716	0.5286737662
717	0.5286586407
718	0.5286309581
719	0.5285987962
720	0.5285582488
721	0.5285286436
722	0.5285082294
723	0.5284827253
724	0.5284631009
725	0.5284238668
726	0.5283631637
727	0.5283360237
728	0.528300506
729	0.5282961238
730	0.5282756974
731	0.5282572513
732	0.5282449927
733	0.5282248575
734	0.5282116425
735	0.5281960277
736	0.5281448838
737	0.5281218856
738	0.5281056263
739	0.5280907694
740	0.5280837436
741	0.5280587645
742	0.5280453243
743	0.5280160334
744	0.5279848652
745	0.5279666939
746	0.5279488447
747	0.5279174825
748	0.5278749071
749	0.527848749
750	0.5278207816
751	0.527806231
752	0.5277541682
753	0.5277268202
754	0.5276847108
755	0.5276486513
756	0.5276198424
757	0.527585299
758	0.527544918
759	0.5275363521
760	0.5275130011
761	0.5274587496
762	0.5274405798
763	0.5274208951
764	0.5273856824
765	0.5273510576
766	0.5273175044
767	0.5272757873
768	0.5272426852
769	0.527230835
770	0.5272013853
771	0.5271770179
772	0.5271391768
773	0.5271118226
774	0.5270783585
775	0.5270338264
776	0.5269986201
777	0.5269920529
778	0.5269700735
779	0.5269500965
780	0.5269361311
781	0.5269243118
782	0.5269126131
783	0.5269021708
784	0.5268753279
785	0.5268686213
786	0.5268356304
787	0.5268071277
788	0.5267851594
789	0.5267422293
790	0.5267280288
791	0.5267203848
792	0.526694988
793	0.5266717377
794	0.5266468084
795	0.5265537516
796	0.5265472448
797	0.5265257911
798	0.5265062208
799	0.5264873847
800	0.5264783754
801	0.5264630777
802	0.5264350565
803	0.5263765037
804	0.5262985483
805	0.5262742526
806	0.5262620752
807	0.5262395949
808	0.5262154864
809	0.5261807476
810	0.5261805069
811	0.5261720094
812	0.5261536977
813	0.5261373877
814	0.5261212899
815	0.5260899379
816	0.5260739656
817	0.5260163077
818	0.5259969222
819	0.5259584547
820	0.5259379144
821	0.5259096376
822	0.5258913745
823	0.5258801153
824	0.5258639557
825	0.5258470344
826	0.525830386
827	0.5258020556
828	0.5257931597
829	0.5257382012
830	0.5257112361
831	0.5256999459
832	0.5256826753
833	0.5256478578
834	0.525622993
835	0.5256041272
836	0.5255949177
837	0.5255574224
838	0.5255166554
839	0.5254925032
840	0.5254725924
841	0.5254535237
842	0.5254134529
843	0.5254069467
844	0.525393882
845	0.5253777579
846	0.5253380107
847	0.5253053528
848	0.5252819501
849	0.5252723118
850	0.5252569899
851	0.5252501795
852	0.5252403906
853	0.5252207105
854	0.5251940533
855	0.5251863983
856	0.525128086
857	0.5250752358
858	0.5250656688
859	0.5250428303
860	0.5250312929
861	0.5250156745
862	0.5250078721
863	0.5249978494
864	0.5249498676
865	0.5249381783
866	0.5249076333
867	0.5248951428
868	0.5248646764
869	0.5248200974
870	0.5247502355
871	0.5247259783
872	0.5247000109
873	0.5246398373
874	0.5246266086
875	0.5246162498
876	0.5246132792
877	0.5245996634
878	0.5245793567
879	0.524558407
880	0.5245242645
881	0.5244921182
882	0.5244828035
883	0.5244784808
884	0.524451171
885	0.5244260357
886	0.5244146831
887	0.5243891697
888	0.52436069
889	0.5243527883
890	0.5242902936
891	0.5242691817
892	0.5242324984
893	0.5242205589
894	0.5242148456
895	0.5241929983
896	0.524161865
897	0.5241331801
898	0.5241046725
899	0.5240797199
900	0.5240650618
901	0.5240441421
902	0.5240340377
903	0.5240257881
904	0.5239933356
905	0.5239912158
906	0.5239630174
907	0.5239433827
908	0.5239375
909	0.5239275968
910	0.5239092787
911	0.5238923757
912	0.5238667604
913	0.5238348261
914	0.5238067796
915	0.5237812071
916	0.5237418782
917	0.5237172714
918	0.5237013601
919	0.5236904169
920	0.5236562279
921	0.5236302069
922	0.5235942891
923	0.5235572072
924	0.5235382004
925	0.5235216573
926	0.5234964801
927	0.5234724146
928	0.523467345
929	0.5234513117
930	0.5234014699
931	0.5233742892
932	0.5233507578
933	0.5233281024
934	0.5233176851
935	0.5233105447
936	0.5233031547
937	0.5232911263
938	0.5232714206
939	0.5232435601
940	0.5232202761
941	0.5232170062
942	0.5231989965
943	0.5231948645
944	0.5231874649
945	0.5231724163
946	0.5231652093
947	0.5231165932
948	0.5230938818
949	0.5230262145
950	0.5230135881
951	0.5230027696
952	0.5229644441
953	0.5229436424
954	0.5229307624
955	0.5229252064
956	0.5229124679
957	0.5228790428
958	0.5228708844
959	0.5228540455
960	0.5228270492
961	0.5228191648
962	0.5228010461
963	0.5227838254
964	0.5227638129
965	0.5227461581
966	0.5227221484
967	0.5226943441
968	0.5226849297
969	0.5226211068
970	0.522600741
971	0.5225831488
972	0.5225754197
973	0.5225662958
974	0.5225540308
975	0.5225271421
976	0.5224870623
977	0.5224794986
978	0.5224656064
979	0.5224542475
980	0.5224441774
981	0.5224187431
982	0.5223604721
983	0.5223176537
984	0.5222887282
985	0.5222601045
986	0.5222549834
987	0.5222330689
988	0.5221828251
989	0.5221573548
990	0.5221383476
991	0.5221364709
992	0.5221151062
993	0.5221058506
994	0.5220825266
995	0.5220711887
996	0.5220376191
997	0.5220192657
998	0.5220008386
999	0.521993482
